x1,x2,x3,x4,x5,y
0.309035186,0.959946283,0.996698256,0.520043502,0.992589818,2.074319363
0.45593828,0.430122218,0.216407589,0.195688,0.832754246,0.479077863
0.726787861,0.53482049,0.841495905,0.518333522,0.551961846,0.592209725
0.213329146,0.593451762,0.14490105,0.052882511,0.683307915,0.965262
0.608685741,0.221760169,0.412363829,0.637856442,0.555307625,0.261027813
0.127605532,0.170819198,0.001014384,0.423439057,0.488485679,0.745992426
0.159902013,0.67322668,0.01818872,0.121185481,0.952125309,1.158410173
0.97605644,0.03121069,0.501277536,0.873608392,0.242876166,-0.558301915
0.834443257,0.821385139,0.638391736,0.002266441,0.37972394,0.212830777
0.904593341,0.686869219,0.384495863,0.639929035,0.243269522,0.032452356
0.571531628,0.991133426,0.862405683,0.287020828,0.682457664,1.288500654
0.358198834,0.996381217,0.085243958,0.253464373,0.811346615,1.161657027
0.08444062,0.536343209,0.812612003,0.748146087,0.14166298,1.867702356
0.437985112,0.353736906,0.485662815,0.594815553,0.145805695,0.663618103
0.905518444,0.646327107,0.165379529,0.573051537,0.931616137,-0.032402958
0.783264361,0.692255803,0.473200741,0.263602921,0.569268171,0.241623924
0.248822277,0.3223604,0.924441148,0.896390195,0.794589424,1.646119316
0.926001893,0.180553181,0.525291129,0.634917187,0.913182346,-0.242825558
0.664106013,0.392921167,0.751088913,0.82795219,0.600344793,0.67516563
0.0850147,0.9311939,0.054400422,0.53367522,0.118853277,1.585788029
0.380221862,0.820619212,0.247751159,0.895582751,0.712646795,1.355991517
0.378226896,0.251304182,0.256640134,0.776925062,0.049861885,0.578350312
0.68543075,0.626220191,0.757865947,0.989587154,0.383913513,0.894320662
0.260259589,0.885875417,0.818166963,0.466939739,0.090961688,1.714931281
0.564385899,0.189177958,0.539651435,0.359513312,0.314783505,0.213824965
0.726892252,0.520713799,0.802484504,0.207072972,0.678106078,0.427046404
0.052496432,0.808847341,0.688729945,0.957946164,0.091558143,2.201021764
0.908626852,0.514838226,0.624111511,0.320059547,0.077487482,-0.168338559
0.85079055,0.145911429,0.376033676,0.630245083,0.997551902,-0.218253188
0.517451471,1,0.22992673,0.403027417,0.69656869,0.998868561
0.064654171,0.754823944,0.426695767,0.821555034,0.379605286,1.934240418
0.31913402,0.995497125,0.72893539,0.418397115,0.098630237,1.617800344
0.73471153,0.643411483,0.074947631,0.122028799,0.981596209,0.029222583
